fdate,airline,class,subclass,prc
2017-01-01,AA,C,D,20417.0
2017-01-01,AA,C,R,10445.0
2017-01-01,AA,F,P,14022.0
2017-01-01,AA,Y,H,7053.5
2017-01-01,AA,Y,K,8033.0
2017-01-01,AA,Y,L,7958.0
2017-01-01,AA,Y,M,6478.0
2017-01-01,AA,Y,N,7410.0
2017-01-01,AA,Y,O,6860.0
2017-01-01,AA,Y,V,6736.0
2017-01-01,AA,Y,Y,10022.0
2017-01-01,DL,C,Z,16057.0
2017-01-01,DL,Y,K,9888.0
2017-01-01,DL,Y,L,7674.0
2017-01-01,DL,Y,Q,7072.0
2017-01-01,DL,Y,T,8132.0
2017-01-01,DL,Y,U,8365.5
2017-01-01,DL,Y,V,8498.5
2017-01-01,DL,Y,X,8957.5
2017-01-01,DL,Y,Y,340.0
2017-01-01,MU,C,D,25733.0
2017-01-01,MU,C,I,13459.0
2017-01-01,MU,Y,K,8558.0
2017-01-01,MU,Y,L,14054.0
2017-01-01,MU,Y,N,7715.0
2017-01-01,MU,Y,R,11457.5
2017-01-01,MU,Y,S,8738.5
2017-01-01,UA,C,P,14429.0
2017-01-01,UA,Y,G,6840.5
2017-01-01,UA,Y,L,8480.5
2017-01-01,UA,Y,Q,8521.0
2017-01-01,UA,Y,S,13366.0
2017-01-01,UA,Y,T,10431.0
2017-01-01,UA,Y,V,7274.0
2017-01-02,AA,C,D,19243.0
2017-01-02,AA,C,I,15565.0
2017-01-02,AA,C,R,26057.0
2017-01-02,AA,F,F,21181.0
2017-01-02,AA,F,P,15480.0
2017-01-02,AA,Y,G,8921.0
2017-01-02,AA,Y,H,9075.5
2017-01-02,AA,Y,K,10127.0
2017-01-02,AA,Y,L,8945.5
2017-01-02,AA,Y,M,6334.0
2017-01-02,AA,Y,N,7051.0
2017-01-02,AA,Y,Y,10340.0
2017-01-02,DL,C,Z,17596.0
2017-01-02,DL,Y,H,9308.0
2017-01-02,DL,Y,K,10135.5
2017-01-02,DL,Y,L,8975.5
2017-01-02,DL,Y,M,9075.0
2017-01-02,DL,Y,Q,9394.0
2017-01-02,DL,Y,T,7118.0
2017-01-02,DL,Y,U,9076.0
2017-01-02,DL,Y,V,6866.5
2017-01-02,DL,Y,X,5879.0
2017-01-02,DL,Y,Y,2884.0
2017-01-02,MU,C,D,20290.0
2017-01-02,MU,C,I,21611.5
2017-01-02,MU,Y,E,14386.0
2017-01-02,MU,Y,H,12833.0
2017-01-02,MU,Y,K,9547.5
2017-01-02,MU,Y,L,9605.0
2017-01-02,MU,Y,N,10910.5
2017-01-02,MU,Y,Y,100.0
2017-01-02,UA,C,P,19172.0
2017-01-02,UA,C,Z,20603.5
2017-01-02,UA,Y,G,14819.0
2017-01-02,UA,Y,H,18619.0
2017-01-02,UA,Y,K,5058.0
2017-01-02,UA,Y,L,8973.5
2017-01-02,UA,Y,Q,8551.0
2017-01-02,UA,Y,S,16426.0
2017-01-02,UA,Y,T,8747.5
2017-01-02,UA,Y,V,7261.0
2017-01-02,UA,Y,W,11719.5
2017-01-03,AA,C,D,14686.0
2017-01-03,AA,C,R,16735.0
2017-01-03,AA,F,F,25389.0
2017-01-03,AA,F,P,14050.0
2017-01-03,AA,Y,G,8213.0
2017-01-03,AA,Y,H,9541.0
2017-01-03,AA,Y,K,8265.0
2017-01-03,AA,Y,L,9492.0
2017-01-03,AA,Y,M,8167.0
2017-01-03,AA,Y,N,7805.0
2017-01-03,AA,Y,Y,7278.0
2017-01-03,DL,C,D,46924.0
2017-01-03,DL,C,Z,20669.5
2017-01-03,DL,Y,B,7376.0
2017-01-03,DL,Y,H,10310.0
2017-01-03,DL,Y,K,10388.0
2017-01-03,DL,Y,L,5734.0
2017-01-03,DL,Y,M,9643.0
2017-01-03,DL,Y,T,7254.0
2017-01-03,DL,Y,U,7517.0
2017-01-03,DL,Y,V,4823.0
2017-01-03,DL,Y,Y,19407.0
2017-01-03,MU,C,C,27076.5
2017-01-03,MU,C,D,24213.0
2017-01-03,MU,C,I,21696.5
2017-01-03,MU,Y,E,11603.0
2017-01-03,MU,Y,H,10866.0
2017-01-03,MU,Y,K,10277.0
2017-01-03,MU,Y,L,7891.5
2017-01-03,MU,Y,N,7381.5
2017-01-03,MU,Y,S,12969.0
2017-01-03,MU,Y,V,8943.0
2017-01-03,MU,Y,Z,7888.0
2017-01-03,UA,C,P,25927.0
2017-01-03,UA,Y,E,14868.0
2017-01-03,UA,Y,G,17249.0
2017-01-03,UA,Y,H,9560.0
2017-01-03,UA,Y,Q,8481.0
2017-01-03,UA,Y,U,10354.0
2017-01-03,UA,Y,V,7250.5
2017-01-03,UA,Y,W,9566.0
2017-01-04,AA,C,D,23994.0
2017-01-04,AA,C,I,16099.0
2017-01-04,AA,C,J,10446.0
2017-01-04,AA,C,R,15779.0
2017-01-04,AA,F,F,23153.0
2017-01-04,AA,F,P,15724.0
2017-01-04,AA,Y,G,7930.0
2017-01-04,AA,Y,H,7538.5
2017-01-04,AA,Y,L,8762.0
2017-01-04,AA,Y,M,12482.0
2017-01-04,AA,Y,N,6996.0
2017-01-04,AA,Y,S,12784.0
2017-01-04,AA,Y,Y,7620.0
2017-01-04,DL,C,C,42574.0
2017-01-04,DL,C,I,21280.5
2017-01-04,DL,C,Z,16459.0
2017-01-04,DL,Y,H,8204.5
2017-01-04,DL,Y,K,7143.0
2017-01-04,DL,Y,L,7923.0
2017-01-04,DL,Y,M,9105.0
2017-01-04,DL,Y,Q,5952.5
2017-01-04,DL,Y,T,7228.0
2017-01-04,DL,Y,U,7940.0
2017-01-04,DL,Y,V,5873.0
2017-01-04,DL,Y,X,5582.5
2017-01-04,DL,Y,Y,9308.0
2017-01-04,MU,C,C,49941.0
2017-01-04,MU,C,D,19147.0
2017-01-04,MU,C,I,28788.0
2017-01-04,MU,Y,B,9330.0
2017-01-04,MU,Y,E,13871.0
2017-01-04,MU,Y,H,9984.0
2017-01-04,MU,Y,K,9471.0
2017-01-04,MU,Y,L,7836.0
2017-01-04,MU,Y,N,8166.0
2017-01-04,MU,Y,Q,12428.0
2017-01-04,MU,Y,S,10518.5
2017-01-04,MU,Y,V,6316.0
2017-01-04,UA,C,D,25181.0
2017-01-04,UA,C,P,17626.0
2017-01-04,UA,Y,E,11501.0
2017-01-04,UA,Y,G,6233.0
2017-01-04,UA,Y,H,10596.0
2017-01-04,UA,Y,Q,8524.0
2017-01-04,UA,Y,S,6664.5
2017-01-04,UA,Y,U,19591.0
2017-01-04,UA,Y,V,6719.5
2017-01-04,UA,Y,W,10195.0
2017-01-05,AA,C,D,16275.0
2017-01-05,AA,C,I,18794.0
2017-01-05,AA,C,J,20004.0
2017-01-05,AA,C,R,16775.0
2017-01-05,AA,F,F,21463.5
2017-01-05,AA,Y,G,8167.0
2017-01-05,AA,Y,H,6739.0
2017-01-05,AA,Y,K,8199.0
2017-01-05,AA,Y,L,12432.0
2017-01-05,AA,Y,M,6985.0
2017-01-05,AA,Y,N,5799.5
2017-01-05,AA,Y,O,8536.0
2017-01-05,AA,Y,S,6736.0
2017-01-05,AA,Y,V,6476.0
2017-01-05,AA,Y,Y,10043.5
2017-01-05,CZ,C,C,20678.0
2017-01-05,DL,C,Z,14748.0
2017-01-05,DL,Y,H,8314.0
2017-01-05,DL,Y,K,10582.0
2017-01-05,DL,Y,L,6990.0
2017-01-05,DL,Y,Q,10534.0
2017-01-05,DL,Y,S,10111.0
2017-01-05,DL,Y,T,7385.0
2017-01-05,DL,Y,U,6896.0
2017-01-05,DL,Y,X,5680.0
2017-01-05,DL,Y,Y,8762.0
2017-01-05,MU,C,C,33382.0
2017-01-05,MU,C,D,19762.0
2017-01-05,MU,C,I,20899.0
2017-01-05,MU,C,J,62780.0
2017-01-05,MU,F,P,30520.0
2017-01-05,MU,Y,H,10138.0
2017-01-05,MU,Y,K,9787.0
2017-01-05,MU,Y,L,8011.0
2017-01-05,MU,Y,N,8073.5
2017-01-05,MU,Y,R,5913.0
2017-01-05,MU,Y,S,5843.5
2017-01-05,MU,Y,V,10178.0
2017-01-05,MU,Y,Z,6147.0
2017-01-05,UA,C,P,16835.0
2017-01-05,UA,C,Z,12970.0
2017-01-05,UA,Y,G,13767.0
2017-01-05,UA,Y,H,4847.5
2017-01-05,UA,Y,L,5584.0
2017-01-05,UA,Y,Q,8617.0
2017-01-05,UA,Y,S,7840.0
2017-01-05,UA,Y,U,11197.0
2017-01-05,UA,Y,V,7240.0
2017-01-05,UA,Y,W,11119.0
2017-01-06,AA,C,D,21356.0
2017-01-06,AA,C,I,10686.0
2017-01-06,AA,C,J,28776.0
2017-01-06,AA,C,R,22674.0
2017-01-06,AA,F,F,22338.0
2017-01-06,AA,Y,G,8719.0
2017-01-06,AA,Y,H,9302.0
2017-01-06,AA,Y,K,7637.5
2017-01-06,AA,Y,L,7846.0
2017-01-06,AA,Y,M,7998.0
2017-01-06,AA,Y,N,6879.5
2017-01-06,AA,Y,Q,5845.0
2017-01-06,AA,Y,S,6558.5
2017-01-06,AA,Y,V,7093.0
2017-01-06,AA,Y,Y,8459.0
2017-01-06,DL,C,C,52114.0
2017-01-06,DL,C,I,28818.0
2017-01-06,DL,C,Z,16028.0
2017-01-06,DL,Y,B,15903.0
2017-01-06,DL,Y,H,8652.0
2017-01-06,DL,Y,K,8148.5
2017-01-06,DL,Y,L,8857.0
2017-01-06,DL,Y,M,9938.0
2017-01-06,DL,Y,Q,8201.0
2017-01-06,DL,Y,T,11524.0
2017-01-06,DL,Y,U,8973.0
2017-01-06,DL,Y,V,7899.0
2017-01-06,DL,Y,X,6184.5
2017-01-06,DL,Y,Y,5943.0
2017-01-06,MU,C,C,41525.0
2017-01-06,MU,C,D,18024.5
2017-01-06,MU,Y,H,10321.0
2017-01-06,MU,Y,K,8592.0
2017-01-06,MU,Y,L,9412.0
2017-01-06,MU,Y,N,8591.5
2017-01-06,UA,C,P,21653.0
2017-01-06,UA,C,Z,17005.5
2017-01-06,UA,Y,E,9922.0
2017-01-06,UA,Y,G,6981.0
2017-01-06,UA,Y,H,9851.5
2017-01-06,UA,Y,L,6062.0
2017-01-06,UA,Y,Q,8537.0
2017-01-06,UA,Y,S,6222.0
2017-01-06,UA,Y,T,8912.5
2017-01-06,UA,Y,V,7225.0
2017-01-06,UA,Y,W,9663.0
2017-01-07,AA,C,D,20604.0
2017-01-07,AA,C,I,25032.5
2017-01-07,AA,C,J,18246.0
2017-01-07,AA,C,R,16735.0
2017-01-07,AA,F,P,17503.0
2017-01-07,AA,Y,B,9284.0
2017-01-07,AA,Y,G,10260.0
2017-01-07,AA,Y,H,9126.0
2017-01-07,AA,Y,K,9906.0
2017-01-07,AA,Y,L,8565.5
2017-01-07,AA,Y,M,7897.0
2017-01-07,AA,Y,N,7322.0
2017-01-07,AA,Y,O,5300.0
2017-01-07,AA,Y,S,12717.5
2017-01-07,AA,Y,V,6693.0
2017-01-07,AA,Y,Y,8480.0
2017-01-07,DL,C,I,16818.0
2017-01-07,DL,C,Z,14752.0
2017-01-07,DL,Y,H,9694.0
2017-01-07,DL,Y,K,9957.5
2017-01-07,DL,Y,L,8937.5
2017-01-07,DL,Y,M,9838.0
2017-01-07,DL,Y,Q,10533.0
2017-01-07,DL,Y,S,10784.5
2017-01-07,DL,Y,T,6796.0
2017-01-07,DL,Y,U,8914.0
2017-01-07,DL,Y,V,7517.5
2017-01-07,DL,Y,X,6760.0
2017-01-07,DL,Y,Y,2884.0
2017-01-07,MU,C,C,32639.5
2017-01-07,MU,C,D,22560.5
2017-01-07,MU,C,I,17083.0
2017-01-07,MU,Y,E,12904.5
2017-01-07,MU,Y,H,12663.5
2017-01-07,MU,Y,K,9792.5
2017-01-07,MU,Y,L,8856.0
2017-01-07,MU,Y,N,9290.0
2017-01-07,UA,C,D,30182.0
2017-01-07,UA,C,P,17209.0
2017-01-07,UA,Y,E,5472.0
2017-01-07,UA,Y,G,8889.0
2017-01-07,UA,Y,H,9638.5
2017-01-07,UA,Y,L,6578.0
2017-01-07,UA,Y,M,13574.0
2017-01-07,UA,Y,Q,8581.0
2017-01-07,UA,Y,S,5775.0
2017-01-07,UA,Y,T,3929.0
2017-01-07,UA,Y,U,10225.0
2017-01-07,UA,Y,V,7103.0
2017-01-07,UA,Y,W,7662.0
2017-01-08,AA,C,D,20367.0
2017-01-08,AA,C,I,19781.0
2017-01-08,AA,C,R,26527.0
2017-01-08,AA,F,F,22030.0
2017-01-08,AA,F,P,14074.0
2017-01-08,AA,Y,G,11284.0
2017-01-08,AA,Y,H,8154.5
2017-01-08,AA,Y,K,10603.0
2017-01-08,AA,Y,M,8666.0
2017-01-08,AA,Y,N,6005.0
2017-01-08,AA,Y,O,6795.0
2017-01-08,AA,Y,Q,7069.5
2017-01-08,AA,Y,S,7658.0
2017-01-08,AA,Y,V,7560.0
2017-01-08,AA,Y,Y,8612.0
2017-01-08,DL,C,I,17139.5
2017-01-08,DL,C,Z,13651.0
2017-01-08,DL,Y,B,11988.0
2017-01-08,DL,Y,H,8256.0
2017-01-08,DL,Y,K,9890.5
2017-01-08,DL,Y,L,7894.0
2017-01-08,DL,Y,M,8372.0
2017-01-08,DL,Y,Q,11267.0
2017-01-08,DL,Y,T,8386.0
2017-01-08,DL,Y,U,12172.5
2017-01-08,DL,Y,V,7232.0
2017-01-08,DL,Y,X,5055.5
2017-01-08,DL,Y,Y,10322.0
2017-01-08,MU,C,C,41521.0
2017-01-08,MU,C,D,21742.0
2017-01-08,MU,C,I,22580.0
2017-01-08,MU,Y,E,15740.5
2017-01-08,MU,Y,H,11150.0
2017-01-08,MU,Y,K,8605.0
2017-01-08,MU,Y,L,9557.0
2017-01-08,MU,Y,M,15940.0
2017-01-08,MU,Y,N,9353.0
2017-01-08,UA,C,P,18620.5
2017-01-08,UA,C,Z,18719.0
2017-01-08,UA,Y,E,11379.5
2017-01-08,UA,Y,H,9638.0
2017-01-08,UA,Y,L,6318.0
2017-01-08,UA,Y,Q,8585.0
2017-01-08,UA,Y,S,6213.0
2017-01-08,UA,Y,T,6261.0
2017-01-08,UA,Y,U,10678.0
2017-01-08,UA,Y,V,7004.0
2017-01-08,UA,Y,W,6680.5
2017-01-09,AA,C,D,20655.0
2017-01-09,AA,C,I,14411.5
2017-01-09,AA,C,R,16735.0
2017-01-09,AA,F,F,19333.0
2017-01-09,AA,Y,G,12542.5
2017-01-09,AA,Y,H,6579.0
2017-01-09,AA,Y,K,6586.0
2017-01-09,AA,Y,L,7350.0
2017-01-09,AA,Y,M,7827.0
2017-01-09,AA,Y,N,7191.0
2017-01-09,AA,Y,Q,8801.0
2017-01-09,AA,Y,S,9005.0
2017-01-09,AA,Y,V,8798.0
2017-01-09,AA,Y,Y,7578.0
2017-01-09,DL,C,D,37969.5
2017-01-09,DL,C,Z,15456.0
2017-01-09,DL,Y,K,10546.0
2017-01-09,DL,Y,L,8700.5
2017-01-09,DL,Y,M,10901.5
2017-01-09,DL,Y,Q,8534.5
2017-01-09,DL,Y,S,7080.0
2017-01-09,DL,Y,T,8005.0
2017-01-09,DL,Y,U,5055.0
2017-01-09,DL,Y,X,6349.0
2017-01-09,MU,C,D,26679.0
2017-01-09,MU,C,I,13517.0
2017-01-09,MU,Y,E,12880.5
2017-01-09,MU,Y,H,9576.0
2017-01-09,MU,Y,K,9675.5
2017-01-09,MU,Y,L,8132.5
2017-01-09,MU,Y,M,14978.0
2017-01-09,MU,Y,N,9042.0
2017-01-09,MU,Y,R,11091.0
2017-01-09,MU,Y,S,7419.0
2017-01-09,MU,Y,Z,7343.0
2017-01-09,UA,C,P,14049.0
2017-01-09,UA,Y,E,10631.0
2017-01-09,UA,Y,G,11834.0
2017-01-09,UA,Y,H,8324.0
2017-01-09,UA,Y,K,4568.0
2017-01-09,UA,Y,L,5954.5
2017-01-09,UA,Y,Q,8543.5
2017-01-09,UA,Y,S,9089.0
2017-01-09,UA,Y,T,8115.0
2017-01-09,UA,Y,V,11185.5
2017-01-09,UA,Y,W,12562.5
2017-01-10,AA,C,D,13457.0
2017-01-10,AA,C,I,12390.0
2017-01-10,AA,F,P,14047.0
2017-01-10,AA,Y,G,7644.0
2017-01-10,AA,Y,H,6524.0
2017-01-10,AA,Y,K,7728.0
2017-01-10,AA,Y,L,7471.0
2017-01-10,AA,Y,M,6378.0
2017-01-10,AA,Y,N,7771.0
2017-01-10,AA,Y,O,7293.0
2017-01-10,AA,Y,Q,8238.0
2017-01-10,AA,Y,V,7738.0
2017-01-10,AA,Y,Y,6781.0
2017-01-10,DL,C,Z,18635.0
2017-01-10,DL,Y,K,8510.0
2017-01-10,DL,Y,L,5844.5
2017-01-10,DL,Y,Q,9209.0
2017-01-10,DL,Y,T,5992.0
2017-01-10,DL,Y,U,5425.0
2017-01-10,DL,Y,V,6156.0
2017-01-10,DL,Y,X,5414.0
2017-01-10,MU,C,D,21974.5
2017-01-10,MU,C,I,13356.0
2017-01-10,MU,Y,E,10955.0
2017-01-10,MU,Y,H,9582.0
2017-01-10,MU,Y,K,9171.0
2017-01-10,MU,Y,L,7959.0
2017-01-10,MU,Y,N,7136.5
2017-01-10,MU,Y,Q,7970.0
2017-01-10,MU,Y,R,11023.0
2017-01-10,MU,Y,S,6239.0
2017-01-10,MU,Y,V,4272.0
2017-01-10,MU,Y,Z,8666.5
2017-01-10,UA,C,P,19135.0
2017-01-10,UA,Y,K,5250.0
2017-01-10,UA,Y,L,7373.0
2017-01-10,UA,Y,S,10901.5
2017-01-10,UA,Y,T,9240.0
2017-01-10,UA,Y,V,7245.0
2017-01-11,AA,C,D,17953.5
2017-01-11,AA,C,I,10705.0
2017-01-11,AA,F,P,14047.0
2017-01-11,AA,Y,G,7976.0
2017-01-11,AA,Y,H,6757.0
2017-01-11,AA,Y,L,6962.0
2017-01-11,AA,Y,M,5254.0
2017-01-11,AA,Y,N,7795.0
2017-01-11,AA,Y,Q,5094.0
2017-01-11,AA,Y,S,9627.5
2017-01-11,AA,Y,V,7634.0
2017-01-11,AA,Y,Y,7831.0
2017-01-11,DL,C,Z,14654.0
2017-01-11,DL,Y,K,8782.0
2017-01-11,DL,Y,L,9521.0
2017-01-11,DL,Y,Q,7328.5
2017-01-11,DL,Y,T,6737.0
2017-01-11,DL,Y,U,7538.0
2017-01-11,DL,Y,V,5567.0
2017-01-11,DL,Y,X,6051.0
2017-01-11,MU,C,D,23577.0
2017-01-11,MU,C,I,11994.0
2017-01-11,MU,Y,E,11735.0
2017-01-11,MU,Y,K,10357.0
2017-01-11,MU,Y,L,7958.0
2017-01-11,MU,Y,N,6828.0
2017-01-11,MU,Y,Q,7233.0
2017-01-11,MU,Y,R,5307.0
2017-01-11,MU,Y,S,5851.0
2017-01-11,MU,Y,V,4178.5
2017-01-11,MU,Y,Z,5946.0
2017-01-11,UA,C,P,18735.0
2017-01-11,UA,Y,E,2000.0
2017-01-11,UA,Y,G,5868.0
2017-01-11,UA,Y,K,5480.5
2017-01-11,UA,Y,L,7949.0
2017-01-11,UA,Y,S,6872.0
2017-01-11,UA,Y,k,6730.0
2017-01-12,AA,C,D,19426.0
2017-01-12,AA,C,I,12363.5
2017-01-12,AA,C,R,16663.0
2017-01-12,AA,F,F,23327.0
2017-01-12,AA,Y,H,6540.5
2017-01-12,AA,Y,K,7069.0
2017-01-12,AA,Y,L,9788.0
2017-01-12,AA,Y,M,5451.5
2017-01-12,AA,Y,N,5298.0
2017-01-12,AA,Y,O,7335.0
2017-01-12,AA,Y,Q,8676.0
2017-01-12,AA,Y,S,6195.5
2017-01-12,DL,C,Z,14619.5
2017-01-12,DL,Y,K,6714.0
2017-01-12,DL,Y,L,8924.0
2017-01-12,DL,Y,T,6971.0
2017-01-12,DL,Y,U,5386.0
2017-01-12,DL,Y,V,4330.0
2017-01-12,DL,Y,X,5654.0
2017-01-12,MU,C,D,23291.0
2017-01-12,MU,C,I,13676.0
2017-01-12,MU,Y,K,11921.0
2017-01-12,MU,Y,L,6562.5
2017-01-12,MU,Y,N,5983.0
2017-01-12,MU,Y,R,7978.0
2017-01-12,MU,Y,S,6731.0
2017-01-12,MU,Y,T,4956.5
2017-01-12,MU,Y,V,4118.5
2017-01-12,MU,Y,Z,6707.0
2017-01-12,UA,C,P,20834.0
2017-01-12,UA,Y,K,6077.0
2017-01-12,UA,Y,L,7396.5
2017-01-12,UA,Y,S,8155.0
2017-01-12,UA,Y,T,8466.0
2017-01-12,UA,Y,V,7275.5
2017-01-13,AA,C,D,20550.5
2017-01-13,AA,C,R,12069.0
2017-01-13,AA,Y,H,7444.5
2017-01-13,AA,Y,K,1300.0
2017-01-13,AA,Y,L,7623.0
2017-01-13,AA,Y,M,5414.0
2017-01-13,AA,Y,N,7136.5
2017-01-13,AA,Y,O,4715.0
2017-01-13,AA,Y,Q,8024.0
2017-01-13,AA,Y,S,7291.0
2017-01-13,AA,Y,V,7197.0
2017-01-13,DL,C,Z,17222.5
2017-01-13,DL,Y,H,10165.0
2017-01-13,DL,Y,L,8543.0
2017-01-13,DL,Y,Q,7284.5
2017-01-13,DL,Y,S,9037.0
2017-01-13,DL,Y,T,5130.0
2017-01-13,DL,Y,U,5367.0
2017-01-13,DL,Y,V,6889.0
2017-01-13,DL,Y,X,6095.0
2017-01-13,MU,C,D,23290.0
2017-01-13,MU,C,I,13580.5
2017-01-13,MU,Y,E,11981.0
2017-01-13,MU,Y,H,11093.0
2017-01-13,MU,Y,K,12182.0
2017-01-13,MU,Y,L,6673.5
2017-01-13,MU,Y,N,8487.0
2017-01-13,MU,Y,Q,7335.0
2017-01-13,MU,Y,R,5833.0
2017-01-13,MU,Y,S,8014.0
2017-01-13,MU,Y,T,5955.0
2017-01-13,MU,Y,V,4220.0
2017-01-13,MU,Y,Y,5362.0
2017-01-13,MU,Y,Z,6638.0
2017-01-13,UA,Y,E,8984.0
2017-01-13,UA,Y,H,6536.5
2017-01-13,UA,Y,K,5542.0
2017-01-13,UA,Y,L,8471.5
2017-01-13,UA,Y,Q,8494.5
2017-01-13,UA,Y,T,8570.5
2017-01-13,UA,Y,U,9759.0
2017-01-13,UA,Y,V,7215.0
2017-01-14,AA,C,D,12504.0
2017-01-14,AA,C,I,10702.0
2017-01-14,AA,Y,H,6376.0
2017-01-14,AA,Y,K,8088.0
2017-01-14,AA,Y,L,7107.5
2017-01-14,AA,Y,M,9883.5
2017-01-14,AA,Y,N,6976.0
2017-01-14,AA,Y,Q,6558.0
2017-01-14,AA,Y,S,8020.0
2017-01-14,AA,Y,V,6242.0
2017-01-14,DL,C,D,29912.0
2017-01-14,DL,C,I,16101.0
2017-01-14,DL,Y,H,8477.0
2017-01-14,DL,Y,K,3320.0
2017-01-14,DL,Y,L,6726.0
2017-01-14,DL,Y,T,5721.0
2017-01-14,DL,Y,U,5271.0
2017-01-14,DL,Y,V,4245.5
2017-01-14,DL,Y,X,5669.0
2017-01-14,MU,C,D,21644.5
2017-01-14,MU,Y,B,19612.0
2017-01-14,MU,Y,E,14888.0
2017-01-14,MU,Y,H,1413.0
2017-01-14,MU,Y,K,11709.5
2017-01-14,MU,Y,L,8723.0
2017-01-14,MU,Y,M,16428.0
2017-01-14,MU,Y,N,9266.5
2017-01-14,MU,Y,R,7918.0
2017-01-14,MU,Y,S,7382.0
2017-01-14,MU,Y,Z,7593.0
2017-01-14,UA,C,P,16089.0
2017-01-14,UA,C,Z,17589.0
2017-01-14,UA,Y,G,7828.0
2017-01-14,UA,Y,H,7979.0
2017-01-14,UA,Y,L,5879.5
2017-01-14,UA,Y,Q,8612.0
2017-01-14,UA,Y,S,8924.5
2017-01-14,UA,Y,T,8147.0
2017-01-14,UA,Y,U,9998.0
2017-01-14,UA,Y,V,7237.0
2017-01-14,UA,Y,W,8632.0
2017-01-15,AA,C,D,19905.0
2017-01-15,AA,C,I,16720.0
2017-01-15,AA,C,R,14720.0
2017-01-15,AA,F,F,26177.5
2017-01-15,AA,Y,G,8282.0
2017-01-15,AA,Y,H,6941.5
2017-01-15,AA,Y,L,8554.0
2017-01-15,AA,Y,M,5255.0
2017-01-15,AA,Y,N,8791.0
2017-01-15,AA,Y,Q,9128.0
2017-01-15,AA,Y,S,7434.0
2017-01-15,AA,Y,V,7980.5
2017-01-15,DL,C,I,22488.0
2017-01-15,DL,C,Z,14755.0
2017-01-15,DL,Y,K,7841.5
2017-01-15,DL,Y,L,8849.0
2017-01-15,DL,Y,Q,6756.0
2017-01-15,DL,Y,T,6433.5
2017-01-15,DL,Y,U,5643.0
2017-01-15,DL,Y,V,6660.0
2017-01-15,DL,Y,X,5842.0
2017-01-15,DL,Y,Y,9592.0
2017-01-15,MU,C,D,24445.5
2017-01-15,MU,C,I,19352.0
2017-01-15,MU,Y,B,8240.0
2017-01-15,MU,Y,K,9423.0
2017-01-15,MU,Y,L,10151.0
2017-01-15,MU,Y,N,8643.0
2017-01-15,MU,Y,Q,8812.0
2017-01-15,MU,Y,R,8084.0
2017-01-15,MU,Y,S,7404.5
2017-01-15,MU,Y,Z,7929.5
2017-01-15,UA,C,P,18878.0
2017-01-15,UA,Y,H,9130.0
2017-01-15,UA,Y,Q,13665.5
2017-01-15,UA,Y,S,10837.0
2017-01-15,UA,Y,T,13004.0
2017-01-15,UA,Y,U,9424.0
2017-01-15,UA,Y,W,9981.0
2017-01-16,AA,C,D,7896.0
2017-01-16,AA,C,I,10702.0
2017-01-16,AA,C,J,19247.0
2017-01-16,AA,C,R,20934.5
2017-01-16,AA,F,F,28682.0
2017-01-16,AA,Y,H,7768.0
2017-01-16,AA,Y,L,10065.0
2017-01-16,AA,Y,M,7366.0
2017-01-16,AA,Y,O,9423.0
2017-01-16,AA,Y,Q,12698.0
2017-01-16,AA,Y,S,6245.0
2017-01-16,AA,Y,V,8948.0
2017-01-16,AA,Y,Y,4585.5
2017-01-16,DL,C,D,22503.5
2017-01-16,DL,C,I,22337.0
2017-01-16,DL,C,Z,16131.0
2017-01-16,DL,Y,K,7013.5
2017-01-16,DL,Y,T,6097.5
