fdate,order_cnt
2016-01-01,78
2016-01-02,62
2016-01-03,69
2016-01-04,88
2016-01-05,100
2016-01-06,83
2016-01-07,90
2016-01-08,71
2016-01-09,83
2016-01-10,91
2016-01-11,98
2016-01-12,50
2016-01-13,71
2016-01-14,96
2016-01-15,102
2016-01-16,87
2016-01-17,109
2016-01-18,110
2016-01-19,98
2016-01-20,121
2016-01-21,98
2016-01-22,114
2016-01-23,99
2016-01-24,101
2016-01-25,118
2016-01-26,98
2016-01-27,135
2016-01-28,128
2016-01-29,141
2016-01-30,137
2016-01-31,157
2016-02-01,168
2016-02-02,130
2016-02-03,185
2016-02-04,166
2016-02-05,194
2016-02-06,178
2016-02-07,166
2016-02-08,157
2016-02-09,130
2016-02-10,142
2016-02-11,136
2016-02-12,144
2016-02-13,92
2016-02-14,100
2016-02-15,100
2016-02-16,105
2016-02-17,58
2016-02-18,69
2016-02-19,59
2016-02-20,85
2016-02-21,59
2016-02-22,29
2016-02-23,67
2016-02-24,45
2016-02-25,76
2016-02-26,97
2016-02-27,83
2016-02-28,75
2016-02-29,65
2016-03-01,97
2016-03-02,78
2016-03-03,86
2016-03-04,83
2016-03-05,97
2016-03-06,89
2016-03-07,64
2016-03-08,49
2016-03-09,69
2016-03-10,83
2016-03-11,122
2016-03-12,87
2016-03-13,69
2016-03-14,61
2016-03-15,57
2016-03-16,87
2016-03-17,67
2016-03-18,122
2016-03-19,67
2016-03-20,88
2016-03-21,74
2016-03-22,54
2016-03-23,79
2016-03-24,81
2016-03-25,103
2016-03-26,72
2016-03-27,63
2016-03-28,71
2016-03-29,74
2016-03-30,78
2016-03-31,89
2016-04-01,128
2016-04-02,60
2016-04-03,55
2016-04-04,51
2016-04-05,87
2016-04-06,49
2016-04-07,66
2016-04-08,77
2016-04-09,80
2016-04-10,89
2016-04-11,53
2016-04-12,47
2016-04-13,54
2016-04-14,27
2016-04-15,119
2016-04-16,90
2016-04-17,93
2016-04-18,65
2016-04-19,60
2016-04-20,86
2016-04-21,82
2016-04-22,84
2016-04-23,89
2016-04-24,121
2016-04-25,130
2016-04-26,93
2016-04-27,136
2016-04-28,92
2016-04-29,98
2016-04-30,105
2016-05-01,113
2016-05-02,109
2016-05-03,83
2016-05-04,77
2016-05-05,85
2016-05-06,77
2016-05-07,108
2016-05-08,84
2016-05-09,82
2016-05-10,98
2016-05-11,121
2016-05-12,98
2016-05-13,103
2016-05-14,105
2016-05-15,135
2016-05-16,68
2016-05-17,61
2016-05-18,75
2016-05-19,88
2016-05-20,133
2016-05-21,119
2016-05-22,92
2016-05-23,72
2016-05-24,59
2016-05-25,105
2016-05-26,103
2016-05-27,92
2016-05-28,83
2016-05-29,68
2016-05-30,97
2016-05-31,77
2016-06-01,98
2016-06-02,108
2016-06-03,130
2016-06-04,110
2016-06-05,112
2016-06-06,135
2016-06-07,103
2016-06-08,178
2016-06-09,140
2016-06-10,156
2016-06-11,136
2016-06-12,141
2016-06-13,106
2016-06-14,87
2016-06-15,117
2016-06-16,94
2016-06-17,139
2016-06-18,143
2016-06-19,159
2016-06-20,129
2016-06-21,149
2016-06-22,135
2016-06-23,116
2016-06-24,184
2016-06-25,187
2016-06-26,143
2016-06-27,147
2016-06-28,216
2016-06-29,217
2016-06-30,148
2016-07-01,153
2016-07-02,117
2016-07-03,113
2016-07-04,109
2016-07-05,107
2016-07-06,143
2016-07-07,119
2016-07-08,143
2016-07-09,133
2016-07-10,106
2016-07-11,81
2016-07-12,81
2016-07-13,78
2016-07-14,114
2016-07-15,130
2016-07-16,152
2016-07-17,104
2016-07-18,107
2016-07-19,116
2016-07-20,134
2016-07-21,83
2016-07-22,113
2016-07-23,134
2016-07-24,108
2016-07-25,137
2016-07-26,113
2016-07-27,171
2016-07-28,112
2016-07-29,154
2016-07-30,132
2016-07-31,129
2016-08-01,121
2016-08-02,152
2016-08-03,151
2016-08-04,155
2016-08-05,186
2016-08-06,153
2016-08-07,172
2016-08-08,192
2016-08-09,132
2016-08-10,142
2016-08-11,135
2016-08-12,154
2016-08-13,162
2016-08-14,176
2016-08-15,148
2016-08-16,138
2016-08-17,146
2016-08-18,140
2016-08-19,170
2016-08-20,127
2016-08-21,145
2016-08-22,150
2016-08-23,140
2016-08-24,176
2016-08-25,150
2016-08-26,148
2016-08-27,152
2016-08-28,154
2016-08-29,155
2016-08-30,124
2016-08-31,57
2016-09-01,137
2016-09-02,116
2016-09-03,168
2016-09-04,112
2016-09-05,145
2016-09-06,114
2016-09-07,92
2016-09-08,169
2016-09-09,195
2016-09-10,191
2016-09-11,149
2016-09-12,169
2016-09-13,121
2016-09-14,185
2016-09-15,96
2016-09-16,165
2016-09-17,110
2016-09-18,151
2016-09-19,113
2016-09-20,133
2016-09-21,121
2016-09-22,111
2016-09-23,142
2016-09-24,180
2016-09-25,135
2016-09-26,175
2016-09-27,137
2016-09-28,200
2016-09-29,213
2016-09-30,205
2016-10-01,207
2016-10-02,134
2016-10-03,159
2016-10-04,181
2016-10-05,150
2016-10-06,110
2016-10-07,51
2016-10-08,82
2016-10-09,94
2016-10-10,113
2016-10-11,65
2016-10-12,79
2016-10-13,73
2016-10-14,111
2016-10-15,123
2016-10-16,110
2016-10-17,79
2016-10-18,76
2016-10-19,75
2016-10-20,101
2016-10-21,100
2016-10-22,112
2016-10-23,103
2016-10-24,80
2016-10-25,94
2016-10-26,110
2016-10-27,148
2016-10-28,119
2016-10-29,129
2016-10-30,121
2016-10-31,131
2016-11-01,154
2016-11-02,85
2016-11-03,55
2016-11-04,88
2016-11-05,114
2016-11-06,100
2016-11-07,70
2016-11-08,73
2016-11-09,71
2016-11-10,83
2016-11-11,79
2016-11-12,115
2016-11-13,102
2016-11-14,80
2016-11-15,88
2016-11-16,76
2016-11-17,74
2016-11-18,127
2016-11-19,130
2016-11-20,114
2016-11-21,86
2016-11-22,94
2016-11-23,71
2016-11-24,8
2016-11-25,108
2016-11-26,77
2016-11-27,81
2016-11-28,109
2016-11-29,86
2016-11-30,61
2016-12-01,95
2016-12-02,82
2016-12-03,89
2016-12-04,76
2016-12-05,80
2016-12-06,78
2016-12-07,63
2016-12-08,79
2016-12-09,86
2016-12-10,117
2016-12-11,98
2016-12-12,95
2016-12-13,87
2016-12-14,93
2016-12-15,109
2016-12-16,176
2016-12-17,162
2016-12-18,169
2016-12-19,101
2016-12-20,176
2016-12-21,157
2016-12-22,222
2016-12-23,224
2016-12-24,142
2016-12-25,106
2016-12-26,107
2016-12-27,174
2016-12-28,132
2016-12-29,132
2016-12-30,95
2016-12-31,114
