d,cityid,persons,quantity,uv
2016/1/1,1,116,243,9127
2016/1/2,1,111,231,9650
2016/1/3,1,82,176,10453
2016/1/4,1,149,292,11204
2016/1/5,1,145,341,11575
2016/1/6,1,157,327,11845
2016/1/7,1,169,417,11294
2016/1/8,1,193,455,10920
2016/1/9,1,149,326,8314
2016/1/10,1,138,307,8398
2016/1/11,1,158,370,10913
2016/1/12,1,171,455,10584
2016/1/13,1,157,393,10186
2016/1/14,1,151,343,9662
2016/1/15,1,153,362,9305
2016/1/16,1,131,325,7739
2016/1/17,1,114,249,7826
2016/1/18,1,133,297,9737
2016/1/19,1,141,328,8955
2016/1/20,1,165,392,9286
2016/1/21,1,112,251,9034
2016/1/22,1,171,361,10487
2016/1/23,1,111,267,9614
2016/1/24,1,122,267,9355
2016/1/25,1,113,262,10731
2016/1/26,1,109,243,10129
2016/1/27,1,145,333,9711
2016/1/28,1,121,293,9762
2016/1/29,1,118,282,9573
2016/1/30,1,121,263,8524
2016/1/31,1,80,193,8312
2016/2/1,1,103,234,9200
2016/2/2,1,128,304,8791
2016/2/3,1,140,356,8692
2016/2/4,1,123,280,8382
2016/2/5,1,113,259,7924
2016/2/6,1,112,298,6947
2016/2/7,1,62,136,4466
2016/2/8,1,57,126,5690
2016/2/9,1,58,131,6394
2016/2/10,1,52,115,6932
2016/2/11,1,52,106,7577
2016/2/12,1,52,111,7641
2016/2/13,1,54,121,8095
2016/2/14,1,72,144,9635
2016/2/15,1,85,200,11053
2016/2/16,1,112,281,11520
2016/2/17,1,113,263,11182
2016/2/18,1,143,349,11116
2016/2/19,1,140,382,10890
2016/2/20,1,118,296,8816
2016/2/21,1,81,233,8658
2016/2/22,1,113,275,10559
2016/2/23,1,126,339,11112
2016/2/24,1,144,342,11170
2016/2/25,1,157,376,11216
2016/2/26,1,122,310,10566
2016/2/27,1,120,307,8686
2016/2/28,1,106,283,8751
2016/2/29,1,132,352,10958
2016/3/1,1,177,408,11215
2016/3/2,1,187,501,11212
2016/3/3,1,126,294,11150
2016/3/4,1,156,410,11130
2016/3/5,1,121,304,10615
2016/3/6,1,100,271,10410
2016/3/7,1,125,363,12147
2016/3/8,1,127,319,10119
2016/3/9,1,120,277,11141
2016/3/10,1,134,332,11023
2016/3/11,1,115,301,10655
2016/3/12,1,108,282,8737
2016/3/13,1,95,258,8722
2016/3/14,1,141,413,11252
2016/3/15,1,154,421,11325
2016/3/16,1,153,380,11225
2016/3/17,1,154,369,11466
2016/3/18,1,138,381,10671
2016/3/19,1,117,305,8235
2016/3/20,1,91,218,8297
2016/3/21,1,148,373,11002
2016/3/22,1,139,373,11232
2016/3/23,1,145,375,11228
2016/3/24,1,128,364,11174
2016/3/25,1,130,324,10451
2016/3/26,1,123,331,8772
2016/3/27,1,133,315,8862
2016/3/28,1,151,407,11736
2016/3/29,1,163,374,11530
2016/3/30,1,140,397,11320
2016/3/31,1,142,331,11478
2016/4/1,1,163,389,11802
2016/4/2,1,136,349,9993
2016/4/3,1,105,275,9393
2016/4/4,1,105,252,10268
2016/4/5,1,147,329,13324
2016/4/6,1,174,456,13216
2016/4/7,1,142,318,13174
2016/4/8,1,168,428,13062
2016/4/9,1,131,291,10348
2016/4/10,1,101,219,9847
2016/4/11,1,163,387,13065
2016/4/12,1,204,480,12813
2016/4/13,1,142,322,13025
2016/4/14,1,145,317,12772
2016/4/15,1,188,437,12165
2016/4/16,1,142,293,10225
2016/4/17,1,101,256,9827
2016/4/18,1,147,380,13041
2016/4/19,1,190,443,13125
2016/4/20,1,188,442,13060
2016/4/21,1,168,425,12703
2016/4/22,1,191,404,12299
2016/4/23,1,117,260,10122
2016/4/24,1,134,326,9875
2016/4/25,1,161,353,13160
2016/4/26,1,179,421,13241
2016/4/27,1,174,413,13113
2016/4/28,1,187,407,12534
2016/4/29,1,193,445,12224
2016/4/30,1,149,329,9520
2016/5/1,1,126,283,9203
2016/5/2,1,133,307,10253
2016/5/3,1,192,441,13892
2016/5/4,1,204,433,14019
2016/5/5,1,197,468,13933
2016/5/6,1,182,429,13033
2016/5/7,1,137,296,10571
2016/5/8,1,124,292,10097
2016/5/9,1,149,353,13949
2016/5/10,1,198,410,13822
2016/5/11,1,218,496,13185
2016/5/12,1,232,573,13564
2016/5/13,1,192,443,12859
2016/5/14,1,128,272,10828
2016/5/15,1,154,366,10386
2016/5/16,1,207,457,13789
2016/5/17,1,226,503,13608
2016/5/18,1,172,411,13364
2016/5/19,1,172,405,12924
2016/5/20,1,193,417,11861
2016/5/21,1,175,415,10198
2016/5/22,1,142,309,10179
2016/5/23,1,153,343,13781
2016/5/24,1,225,488,13901
2016/5/25,1,216,492,12980
2016/5/26,1,160,326,12957
2016/5/27,1,134,314,12718
2016/5/28,1,148,328,10110
2016/5/29,1,127,283,10033
2016/5/30,1,182,391,13359
2016/5/31,1,209,457,12962
2016/6/1,1,156,324,13092
2016/6/2,1,183,395,13708
2016/6/3,1,180,398,12946
2016/6/4,1,159,351,10313
2016/6/5,1,132,267,10605
2016/6/6,1,145,306,13499
2016/6/7,1,164,370,13385
2016/6/8,1,170,340,12694
2016/6/9,1,142,321,10095
2016/6/10,1,122,261,10260
2016/6/11,1,109,247,10593
2016/6/12,1,149,290,13784
2016/6/13,1,136,290,13643
2016/6/14,1,147,322,13667
2016/6/15,1,165,328,13221
2016/6/16,1,185,364,13379
2016/6/17,1,177,360,12730
2016/6/18,1,125,253,10141
2016/6/19,1,109,234,9800
2016/6/20,1,173,383,13178
2016/6/21,1,172,362,13273
2016/6/22,1,153,304,13658
2016/6/23,1,139,321,13219
2016/6/24,1,155,310,11974
2016/6/25,1,122,249,9870
2016/6/26,1,141,273,9906
2016/6/27,1,153,296,12739
2016/6/28,1,164,307,13192
2016/6/29,1,176,357,12991
2016/6/30,1,192,394,12840
2016/7/1,1,133,255,11908
2016/7/2,1,148,297,9687
2016/7/3,1,112,220,9542
2016/7/4,1,138,287,11992
2016/7/5,1,141,268,11997
2016/7/6,1,158,313,12263
2016/7/7,1,167,320,12519
2016/7/8,1,121,213,11356
2016/7/9,1,126,260,9231
2016/7/10,1,84,160,9070
2016/7/11,1,158,316,11957
2016/7/12,1,170,346,12219
2016/7/13,1,186,337,12054
2016/7/14,1,116,215,11952
2016/7/15,1,138,252,11364
2016/7/16,1,113,218,8796
2016/7/17,1,104,205,9119
2016/7/18,1,128,262,12200
2016/7/19,1,152,298,12298
2016/7/20,1,151,302,11301
2016/7/21,1,133,256,11513
2016/7/22,1,166,293,11455
2016/7/23,1,143,262,8998
2016/7/24,1,88,149,8793
2016/7/25,1,131,248,11778
2016/7/26,1,155,291,11576
2016/7/27,1,160,326,11437
2016/7/28,1,135,260,11612
2016/7/29,1,146,277,11130
2016/7/30,1,119,238,9064
2016/7/31,1,84,193,9092
2016/8/1,1,99,219,12266
2016/8/2,1,122,228,12598
2016/8/3,1,146,284,12723
2016/8/4,1,146,261,12295
2016/8/5,1,144,286,11796
2016/8/6,1,127,255,9175
2016/8/7,1,91,225,8809
2016/8/8,1,127,236,11838
2016/8/9,1,134,270,11232
2016/8/10,1,151,323,11764
2016/8/11,1,140,332,11812
2016/8/12,1,161,373,11255
2016/8/13,1,127,257,8291
2016/8/14,1,123,281,7136
2016/8/15,1,161,320,9653
2016/8/16,1,181,396,10551
2016/8/17,1,161,370,7639
2016/8/18,1,173,418,13820
2016/8/19,1,173,395,10262
2016/8/20,1,119,250,8039
2016/8/21,1,130,319,7950
2016/8/22,1,156,346,11422
2016/8/23,1,161,381,11557
2016/8/24,1,142,317,9232
2016/8/25,1,136,321,10898
2016/8/26,1,131,275,10376
2016/8/27,1,92,197,8132
2016/8/28,1,93,199,8295
2016/8/29,1,103,231,11184
2016/8/30,1,155,338,11065
2016/8/31,1,146,362,10933
2016/9/1,1,131,283,10554
2016/9/2,1,151,326,10303
2016/9/3,1,110,275,7838
2016/9/4,1,93,210,8104
2016/9/5,1,151,344,10495
2016/9/6,1,130,293,10268
2016/9/7,1,149,350,9283
2016/9/8,1,147,346,10172
2016/9/9,1,149,368,9468
2016/9/10,1,112,245,7197
2016/9/11,1,99,216,7721
2016/9/12,1,116,250,10255
2016/9/13,1,155,375,9965
2016/9/14,1,169,383,9417
2016/9/15,1,107,257,6868
2016/9/16,1,131,317,7438
2016/9/17,1,100,234,7698
2016/9/18,1,128,293,10678
2016/9/19,1,155,367,10536
2016/9/20,1,154,394,10506
2016/9/21,1,189,458,10087
2016/9/22,1,162,382,10270
2016/9/23,1,155,337,9989
2016/9/24,1,108,256,7276
2016/9/25,1,111,255,7333
2016/9/26,1,175,382,9981
2016/9/27,1,175,398,9861
2016/9/28,1,145,326,9411
2016/9/29,1,118,267,9649
2016/9/30,1,173,424,9114
2016/10/1,1,111,254,6869
2016/10/2,1,86,206,6346
2016/10/3,1,73,155,6265
2016/10/4,1,72,157,6485
2016/10/5,1,65,140,6523
2016/10/6,1,66,134,7093
2016/10/7,1,84,185,8125
2016/10/8,1,92,202,10334
2016/10/9,1,124,287,9652
2016/10/10,1,105,262,9512
2016/10/11,1,102,216,9404
2016/10/12,1,124,308,9314
2016/10/13,1,134,312,9413
2016/10/14,1,133,337,9170
2016/10/15,1,80,181,6899
2016/10/16,1,83,206,6932
2016/10/17,1,117,249,9748
2016/10/18,1,134,311,9989
2016/10/19,1,124,292,9070
2016/10/20,1,147,331,7778
2016/10/21,1,132,287,7106
2016/10/22,1,107,235,5063
2016/10/23,1,93,187,4929
2016/10/24,1,145,325,8036
2016/10/25,1,125,251,9125
2016/10/26,1,141,305,9150
2016/10/27,1,135,303,9555
2016/10/28,1,133,279,9024
2016/10/29,1,89,187,6871
2016/10/30,1,81,159,6704
2016/10/31,1,129,258,8942
2016/11/1,1,128,284,9248
2016/11/2,1,152,326,9283
2016/11/3,1,148,339,9432
2016/11/4,1,113,236,9134
2016/11/5,1,92,220,7150
2016/11/6,1,82,143,7269
2016/11/7,1,118,298,9855
2016/11/8,1,125,255,9666
2016/11/9,1,95,232,8806
2016/11/10,1,124,286,8859
2016/11/11,1,121,246,8554
2016/11/12,1,85,183,6986
2016/11/13,1,62,123,7350
2016/11/14,1,110,202,9822
2016/11/15,1,106,230,9747
2016/11/16,1,145,287,9762
2016/11/17,1,142,324,9905
2016/11/18,1,140,289,9495
2016/11/19,1,76,160,7261
2016/11/20,1,91,202,7568
2016/11/21,1,117,257,10197
2016/11/22,1,104,210,10163
2016/11/23,1,118,229,9979
2016/11/24,1,104,223,9555
2016/11/25,1,106,216,8877
2016/11/26,1,95,197,7230
2016/11/27,1,85,191,7264
2016/11/28,1,102,201,10192
2016/11/29,1,132,277,10438
2016/11/30,1,126,269,10282
2016/12/1,1,133,246,11040
2016/12/2,1,175,353,11184
2016/12/3,1,119,240,8603
2016/12/4,1,102,197,8801
2016/12/5,1,134,241,11630
2016/12/6,1,163,336,11421
2016/12/7,1,162,324,11199
2016/12/8,1,140,286,10987
2016/12/9,1,177,335,10266
2016/12/10,1,129,236,8078
2016/12/11,1,136,313,8183
2016/12/12,1,160,314,10934
2016/12/13,1,165,327,11304
2016/12/14,1,159,344,10893
2016/12/15,1,131,269,10293
2016/12/16,1,163,356,11826
2016/12/17,1,145,309,8597
2016/12/18,1,102,229,8660
2016/12/19,1,165,300,10952
2016/12/20,1,163,366,11210
2016/12/21,1,182,396,10788
2016/12/22,1,161,306,10760
2016/12/23,1,158,297,10097
2016/12/24,1,102,222,7499
2016/12/25,1,95,209,7884
2016/12/26,1,133,263,10687
2016/12/27,1,130,272,10693
2016/12/28,1,134,249,10383
2016/12/29,1,110,256,9953
2016/12/30,1,117,297,9178
2016/12/31,1,98,190,6749
2017/1/1,1,83,151,7693
2017/1/2,1,100,192,8620
2017/1/3,1,148,290,12136
2017/1/4,1,174,320,12194
2017/1/5,1,160,341,11947
2017/1/6,1,200,412,11243
2017/1/7,1,149,314,9381
2017/1/8,1,128,303,9115
2017/1/9,1,166,382,11403
2017/1/10,1,184,381,11104
2017/1/11,1,195,420,10954
2017/1/12,1,177,418,10908
2017/1/13,1,182,362,10502
2017/1/14,1,140,275,8365
2017/1/15,1,129,251,8323
2017/1/16,1,157,353,10162
2017/1/17,1,156,350,10006
2017/1/18,1,162,341,9863
2017/1/19,1,131,304,9912
2017/1/20,1,149,326,9116
2017/1/21,1,118,268,7899
2017/1/22,1,121,258,9523
2017/1/23,1,120,254,9950
2017/1/24,1,140,308,9569
2017/1/25,1,155,355,8990
2017/1/26,1,132,283,7344
2017/1/27,1,62,134,4496
2017/1/28,1,86,161,6273
2017/1/29,1,74,188,6854
2017/1/30,1,85,168,6996
2017/1/31,1,72,175,7542
2017/2/1,1,90,209,7933
2017/2/2,1,96,209,8807
2017/2/3,1,109,247,11514
2017/2/4,1,148,341,11293
2017/2/5,1,88,192,8998
2017/2/6,1,129,263,11924
2017/2/7,1,158,356,12203
2017/2/8,1,151,336,12039
2017/2/9,1,139,319,11748
2017/2/10,1,141,324,10876
2017/2/11,1,106,217,8080
2017/2/12,1,109,257,8306
2017/2/13,1,119,281,11343
2017/2/14,1,145,320,10881
2017/2/15,1,154,360,11264
2017/2/16,1,161,421,11616
2017/2/17,1,131,323,10862
2017/2/18,1,98,217,8419
2017/2/19,1,100,231,8510
2017/2/20,1,108,255,11137
2017/2/21,1,86,211,11107
2017/2/22,1,115,289,11163
2017/2/23,1,125,324,10549
2017/2/24,1,118,288,10130
2017/2/25,1,99,233,7896
2017/2/26,1,102,224,7911
2017/2/27,1,138,321,10283
2017/2/28,1,129,296,11063
2017/3/1,1,128,296,10756
2017/3/2,1,133,338,10920
2017/3/3,1,121,293,10794
2017/3/4,1,131,289,8458
2017/3/5,1,135,332,8393
2017/3/6,1,139,351,11088
2017/3/7,1,143,342,11176
2017/3/8,1,151,361,10421
2017/3/9,1,139,361,10824
2017/3/10,1,114,262,10402
2017/3/11,1,108,319,8339
2017/3/12,1,118,275,8109
2017/3/13,1,154,342,11066
2017/3/14,1,144,333,11373
2017/3/15,1,142,368,10981
2017/3/16,1,159,386,10924
2017/3/17,1,149,339,10620
2017/3/18,1,107,214,8274
2017/3/19,1,98,217,8198
2017/3/20,1,124,264,11331
2017/3/21,1,140,332,11091
2017/3/22,1,145,360,11245
2017/3/23,1,156,351,11136
2017/3/24,1,162,372,10441
2017/3/25,1,118,253,7993
2017/3/26,1,107,264,7831
2017/3/27,1,143,386,11113
2017/3/28,1,184,462,11221
2017/3/29,1,183,450,11363
2017/3/30,1,195,484,11221
2017/3/31,1,182,431,11728
2017/4/1,1,176,443,10293
2017/4/2,1,118,330,7599
2017/4/3,1,148,335,7919
2017/4/4,1,148,325,8766
2017/4/5,1,202,514,12346
2017/4/6,1,223,543,12197
2017/4/7,1,198,469,11517
2017/4/8,1,160,347,8970
2017/4/9,1,151,333,8478
2017/4/10,1,189,445,12592
2017/4/11,1,205,452,15171
2017/4/12,1,167,356,13977
2017/4/13,1,178,453,12528
2017/4/14,1,165,367,11565
2017/4/15,1,131,286,9015
2017/4/16,1,118,289,9084
2017/4/17,1,175,424,12726
2017/4/18,1,213,484,12648
2017/4/19,1,181,409,12421
2017/4/20,1,186,408,12285
2017/4/21,1,199,419,10778
2017/4/22,1,151,295,8871
2017/4/23,1,130,274,9079
2017/4/24,1,192,442,12566
2017/4/25,1,171,371,12572
2017/4/26,1,163,327,12483
2017/4/27,1,207,471,12307
2017/4/28,1,184,427,11852
2017/4/29,1,166,346,8765
2017/4/30,1,118,225,8418
2017/5/1,1,102,233,9143
2017/5/2,1,159,340,13895
2017/5/3,1,183,393,13439
2017/5/4,1,187,374,13494
2017/5/5,1,185,408,12574
2017/5/6,1,179,380,9899
2017/5/7,1,122,257,9442
2017/5/8,1,157,296,12791
2017/5/9,1,179,357,13187
2017/5/10,1,234,482,12887
2017/5/11,1,178,402,12744
2017/5/12,1,192,402,11879
2017/5/13,1,187,385,9187
2017/5/14,1,134,264,8935
2017/5/15,1,172,338,12528
2017/5/16,1,171,320,12703
2017/5/17,1,137,250,12628
2017/5/18,1,181,360,12320
2017/5/19,1,152,307,11774
2017/5/20,1,127,246,8739
2017/5/21,1,126,253,8979
2017/5/22,1,162,335,12586
2017/5/23,1,161,340,12277
2017/5/24,1,174,364,12197
2017/5/25,1,195,387,11721
2017/5/26,1,130,264,11262
2017/5/27,1,126,226,10726
2017/5/28,1,124,252,8332
2017/5/29,1,106,214,8564
2017/5/30,1,107,213,9131
2017/5/31,1,150,323,13021
2017/6/1,1,148,315,12037
2017/6/2,1,139,284,12031
2017/6/3,1,130,291,9469
2017/6/4,1,125,322,9567
2017/6/5,1,158,337,13168
2017/6/6,1,116,244,13106
2017/6/7,1,155,327,12380
2017/6/8,1,142,304,12447
2017/6/9,1,143,288,11764
2017/6/10,1,142,325,10106
2017/6/11,1,102,228,10112
2017/6/12,1,156,340,13359
2017/6/13,1,136,294,13319
2017/6/14,1,154,337,12891
2017/6/15,1,171,382,12257
2017/6/16,1,163,338,11728
2017/6/17,1,137,276,9417
2017/6/18,1,113,213,8998
2017/6/19,1,141,283,12623
2017/6/20,1,159,327,12448
2017/6/21,1,147,307,12529
2017/6/22,1,149,292,11595
2017/6/23,1,141,288,10669
2017/6/24,1,104,171,8345
2017/6/25,1,95,186,8581
2017/6/26,1,101,172,11614
2017/6/27,1,109,192,11401
2017/6/28,1,133,248,11277
2017/6/29,1,133,244,11230
2017/6/30,1,139,292,10525
2017/7/1,1,111,254,8742
2017/7/2,1,111,232,8788
2017/7/3,1,129,274,11924
2017/7/4,1,137,269,11567
2017/7/5,1,139,280,11403
2017/7/6,1,122,238,11804
2017/7/7,1,133,290,11294
2017/7/8,1,142,269,9319
2017/7/9,1,97,193,9221
2017/7/10,1,130,240,11854
2017/7/11,1,163,359,11813
2017/7/12,1,158,348,11605
2017/7/13,1,156,284,11189
2017/7/14,1,163,320,10943
2017/7/15,1,128,247,9377
2017/7/16,1,112,235,9178
2017/7/17,1,124,239,11835
2017/7/18,1,143,301,11795
2017/7/19,1,133,264,11280
2017/7/20,1,135,272,10799
2017/7/21,1,125,261,10179
2017/7/22,1,111,258,8110
2017/7/23,1,114,242,6802
2017/7/24,1,107,215,11266
2017/7/25,1,97,181,10879
2017/7/26,1,165,336,10606
2017/7/27,1,116,204,10378
2017/7/28,1,145,289,10113
2017/7/29,1,119,248,8032
2017/7/30,1,87,156,8081
2017/7/31,1,143,294,11132
2017/8/1,1,135,255,11368
2017/8/2,1,154,275,11209
2017/8/3,1,162,357,11301
2017/8/4,1,111,222,8822
2017/8/5,1,111,222,13006
2017/8/6,1,106,206,9293
2017/8/7,1,115,223,11533
2017/8/8,1,127,261,8752
2017/8/9,1,156,296,11626
2017/8/10,1,128,250,11459
2017/8/11,1,132,256,10774
2017/8/12,1,115,219,8899
2017/8/13,1,82,185,8804
2017/8/14,1,110,201,11573
2017/8/15,1,111,206,11589
2017/8/16,1,171,363,11291
2017/8/17,1,108,213,11021
2017/8/18,1,157,273,10425
2017/8/19,1,96,159,8083
2017/8/20,1,106,212,8158
2017/8/21,1,115,236,10466
2017/8/22,1,165,305,10942
2017/8/23,1,155,304,10557
2017/8/24,1,126,257,9761
2017/8/25,1,158,316,9748
2017/8/26,1,109,215,7678
2017/8/27,1,114,217,8068
2017/8/28,1,129,261,9737
2017/8/29,1,158,392,10838
2017/8/30,1,142,295,10340
2017/8/31,1,167,410,10199
2017/9/1,1,179,354,9473
2017/9/2,1,139,295,7505
2017/9/3,1,103,199,7563
2017/9/4,1,133,277,9438
2017/9/5,1,119,244,9770
2017/9/6,1,130,285,9457
2017/9/7,1,135,296,9582
2017/9/8,1,122,250,9032
2017/9/9,1,105,219,7089
2017/9/10,1,95,188,7034
2017/9/11,1,114,261,9528
2017/9/12,1,137,305,9308
2017/9/13,1,147,320,9339
2017/9/14,1,117,245,9406
2017/9/15,1,128,285,8770
2017/9/16,1,71,172,6831
2017/9/17,1,116,264,6959
2017/9/18,1,126,282,9383
2017/9/19,1,151,345,9577
2017/9/20,1,146,328,9314
2017/9/21,1,152,348,9093
2017/9/22,1,162,347,8862
2017/9/23,1,93,224,6628
2017/9/24,1,73,140,6803
2017/9/25,1,136,284,8908
2017/9/26,1,144,316,8964
2017/9/27,1,131,270,8664
2017/9/28,1,143,314,8352
2017/9/29,1,173,393,8354
2017/9/30,1,124,264,7801
2017/10/1,1,102,205,5993
2017/10/2,1,98,199,5805
2017/10/3,1,75,170,5540
2017/10/4,1,71,158,5027
2017/10/5,1,74,160,5622
2017/10/6,1,81,214,6039
2017/10/7,1,92,233,6031
2017/10/8,1,91,170,6803
2017/10/9,1,132,276,9060
2017/10/10,1,131,303,9404
2017/10/11,1,108,222,8974
2017/10/12,1,123,293,9079
2017/10/13,1,138,340,8530
2017/10/14,1,89,196,6492
2017/10/15,1,98,225,6508
2017/10/16,1,130,309,9435
2017/10/17,1,144,303,9430
2017/10/18,1,138,298,9137
2017/10/19,1,153,355,9715
2017/10/20,1,138,340,10977
2017/10/21,1,105,233,8127
2017/10/22,1,129,324,8336
2017/10/23,1,147,320,11227
2017/10/24,1,185,439,10311
2017/10/25,1,208,480,9368
2017/10/26,1,195,491,9140
2017/10/27,1,193,455,8713
2017/10/28,1,155,366,6888
2017/10/29,1,139,348,6479
2017/10/30,1,207,486,11194
2017/10/31,1,209,507,9264
2017/11/1,1,192,428,10508
2017/11/2,1,230,531,10247
2017/11/3,1,169,396,13000
2017/11/4,1,173,407,9568
2017/11/5,1,135,353,6732
2017/11/6,1,182,448,10211
2017/11/7,1,177,455,11579
2017/11/8,1,164,398,10591
2017/11/9,1,145,317,9624
2017/11/10,1,126,301,7698
2017/11/11,1,116,279,6236
2017/11/12,1,135,369,6886
2017/11/13,1,149,338,8900
2017/11/14,1,172,431,8831
2017/11/15,1,154,339,8064
2017/11/16,1,145,335,8759
2017/11/17,1,143,290,8660
2017/11/18,1,133,314,7000
2017/11/19,1,132,304,7139
2017/11/20,1,170,375,9037
2017/11/21,1,153,346,9792
2017/11/22,1,176,419,8671
2017/11/23,1,119,222,9875
2017/11/24,1,116,247,7927
2017/11/25,1,100,227,7589
2017/11/26,1,100,216,6793
2017/11/27,1,123,267,8999
2017/11/28,1,147,306,8475
2017/11/29,1,161,377,9275
2017/11/30,1,148,309,10282
2017/12/1,1,137,299,11119
2017/12/2,1,119,273,7827
2017/12/3,1,110,268,7937
2017/12/4,1,138,317,10411
2017/12/5,1,158,361,10307
2017/12/6,1,147,281,10626
2017/12/7,1,132,273,11530
2017/12/8,1,155,367,14097
2017/12/9,1,139,345,9895
2017/12/10,1,122,287,7789
2017/12/11,1,118,238,11631
2017/12/12,1,140,282,12878
2017/12/13,1,148,325,9919
2017/12/14,1,141,317,10261
2017/12/15,1,146,325,8742
2017/12/16,1,120,275,7761
2017/12/17,1,115,269,7755
2017/12/18,1,156,323,10443
2017/12/19,1,161,385,13161
2017/12/20,1,132,257,12190
2017/12/21,1,142,300,9034
2017/12/22,1,134,269,10335
2017/12/23,1,117,269,8628
2017/12/24,1,95,215,7773
2017/12/25,1,112,251,9972
2017/12/26,1,128,257,11352
